                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.87142,                 1.9212,                0.92159,                 1.2439,                0.95297,                0.89193,                0.92877,                0.85439,                0.94774,                0.88173,                0.92139,                0.80698,                0.42566,                0.73799,                0.37461,                0.92991,               0.009241,               0.009241,               0.009241
                     26,                0.86745,                 1.9192,                 0.9155,                 1.2397,                0.95775,                0.89056,                0.92947,                0.85548,                0.95023,                0.88067,                  0.922,                0.80716,                0.42451,                0.73509,                  0.371,                0.92809,               0.009208,               0.009208,               0.009208
                     27,                0.86728,                 1.9155,                0.91152,                 1.2377,                0.95947,                0.89054,                 0.9296,                0.85538,                0.95294,                 0.8808,                0.92256,                0.80797,                0.42261,                0.73453,                0.36855,                0.92597,               0.009175,               0.009175,               0.009175
                     28,                0.86465,                  1.905,                0.90726,                 1.2316,                0.95896,                0.89302,                0.93004,                0.85629,                0.95129,                0.88271,                0.92263,                0.80829,                0.42088,                0.73282,                0.36775,                0.92479,               0.009142,               0.009142,               0.009142
                     29,                0.86212,                 1.9041,                 0.9003,                 1.2281,                0.95778,                0.89414,                0.93053,                0.85741,                0.94921,                0.88513,                0.92254,                0.80799,                 0.4198,                0.73096,                0.36566,                0.92344,               0.009109,               0.009109,               0.009109
                     30,                0.86007,                 1.8951,                0.89698,                 1.2249,                0.95781,                0.89468,                0.93084,                0.85745,                0.94933,                0.88471,                0.92278,                0.80833,                 0.4189,                0.72679,                0.36355,                0.92226,               0.009076,               0.009076,               0.009076
                     31,                0.86209,                 1.9038,                0.89765,                 1.2226,                0.95785,                0.89457,                0.93102,                0.85813,                0.95021,                0.88442,                0.92268,                0.80899,                0.41727,                0.72669,                0.36182,                0.92071,               0.009043,               0.009043,               0.009043
                     32,                0.86033,                 1.9102,                 0.8944,                  1.221,                0.95776,                0.89506,                 0.9313,                 0.8585,                0.95094,                0.88476,                 0.9237,                0.80998,                0.41608,                0.72689,                0.36012,                0.92009,                0.00901,                0.00901,                0.00901
                     33,                 0.8552,                 1.8891,                0.88806,                 1.2144,                0.95851,                 0.8946,                0.93138,                0.85846,                0.95111,                0.88447,                0.92323,                0.80949,                0.41543,                0.72594,                0.35932,                0.91896,               0.008977,               0.008977,               0.008977
                     34,                0.85269,                 1.8819,                0.88306,                 1.2132,                0.95909,                0.89389,                0.93156,                0.85913,                0.95035,                0.88537,                0.92374,                0.80974,                0.41457,                0.72441,                0.35806,                0.91804,               0.008944,               0.008944,               0.008944
                     35,                0.85356,                 1.8851,                0.87678,                 1.2085,                0.95967,                 0.8941,                 0.9318,                  0.859,                0.95201,                0.88502,                0.92404,                0.80972,                 0.4139,                0.72299,                0.35684,                0.91718,               0.008911,               0.008911,               0.008911
                     36,                0.85102,                 1.8693,                0.87461,                 1.2041,                0.96002,                0.89454,                0.93182,                0.85942,                0.95286,                0.88519,                0.92441,                0.81023,                0.41381,                0.72253,                 0.3559,                0.91661,               0.008878,               0.008878,               0.008878
                     37,                0.85252,                 1.8828,                0.87308,                 1.2032,                0.96142,                0.89402,                0.93187,                0.85956,                0.95427,                0.88409,                0.92441,                0.81004,                0.41371,                0.72195,                0.35529,                0.91649,               0.008845,               0.008845,               0.008845
                     38,                0.85083,                 1.8769,                0.87406,                 1.2025,                0.96124,                0.89404,                0.93218,                0.86033,                0.95415,                0.88586,                0.92573,                0.81093,                0.41313,                0.72127,                0.35455,                0.91573,               0.008812,               0.008812,               0.008812
                     39,                0.84713,                 1.8679,                0.86494,                 1.1966,                0.96174,                0.89412,                0.93208,                0.85993,                0.95413,                0.88595,                0.92571,                0.81134,                0.41273,                0.71973,                0.35375,                0.91508,               0.008779,               0.008779,               0.008779
                     40,                0.84812,                 1.8671,                 0.8646,                 1.1964,                0.96118,                0.89466,                0.93221,                0.86052,                0.95434,                0.88597,                0.92587,                0.81142,                0.41221,                0.71901,                0.35309,                0.91453,               0.008746,               0.008746,               0.008746
                     41,                0.84717,                 1.8678,                0.86297,                 1.1947,                0.96104,                0.89507,                0.93245,                0.86052,                0.95351,                0.88727,                 0.9264,                0.81224,                 0.4117,                0.71884,                0.35246,                0.91373,               0.008713,               0.008713,               0.008713
                     42,                0.84551,                 1.8693,                0.85936,                 1.1905,                0.96019,                0.89605,                0.93268,                0.86095,                0.95362,                0.88747,                0.92664,                0.81275,                0.41139,                0.71754,                0.35156,                0.91336,                0.00868,                0.00868,                0.00868
                     43,                0.84399,                 1.8577,                0.85557,                 1.1886,                0.96058,                0.89586,                0.93274,                0.86117,                0.95431,                0.88701,                0.92685,                0.81265,                0.41126,                0.71681,                  0.351,                0.91305,               0.008647,               0.008647,               0.008647
                     44,                0.84034,                 1.8546,                0.85308,                 1.1868,                0.96141,                 0.8953,                0.93275,                0.86116,                0.95386,                0.88695,                0.92654,                0.81201,                0.41075,                0.71676,                0.35046,                0.91218,               0.008614,               0.008614,               0.008614
                     45,                0.83518,                 1.8367,                0.84596,                  1.182,                0.96138,                0.89547,                0.93289,                0.86145,                0.95384,                0.88701,                0.92627,                0.81199,                 0.4106,                0.71715,                0.34977,                0.91158,               0.008581,               0.008581,               0.008581
                     46,                0.84095,                 1.8512,                 0.8472,                 1.1825,                0.96138,                 0.8957,                0.93281,                0.86199,                0.95432,                0.88677,                0.92627,                0.81192,                0.41038,                0.71606,                 0.3492,                0.91096,               0.008548,               0.008548,               0.008548
                     47,                0.84226,                  1.862,                0.85108,                 1.1827,                0.96164,                0.89582,                0.93296,                0.86178,                0.95424,                0.88719,                0.92619,                0.81201,                0.41037,                0.71584,                0.34919,                0.91045,               0.008515,               0.008515,               0.008515
                     48,                0.83449,                 1.8437,                0.84222,                 1.1764,                  0.961,                 0.8967,                 0.9331,                0.86213,                0.95403,                0.88715,                0.92619,                0.81215,                0.41009,                0.71548,                0.34875,                0.90992,               0.008482,               0.008482,               0.008482
                     49,                0.83836,                 1.8558,                0.84745,                  1.179,                0.96059,                0.89708,                0.93317,                0.86209,                0.95404,                0.88738,                0.92618,                0.81228,                0.41016,                0.71483,                0.34869,                0.90968,               0.008449,               0.008449,               0.008449
                     50,                0.83762,                 1.8467,                0.84549,                 1.1768,                0.96055,                0.89674,                0.93331,                0.86217,                0.95356,                0.88763,                0.92613,                0.81244,                0.40995,                0.71398,                0.34826,                  0.909,               0.008416,               0.008416,               0.008416
                     51,                0.83775,                 1.8458,                0.84039,                 1.1763,                0.96027,                0.89739,                0.93346,                0.86242,                0.95383,                0.88698,                0.92621,                0.81247,                0.41003,                0.71338,                0.34797,                0.90859,               0.008383,               0.008383,               0.008383
                     52,                0.83727,                 1.8428,                0.83887,                 1.1733,                0.95966,                0.89835,                0.93369,                 0.8629,                0.95262,                0.88792,                0.92617,                0.81249,                 0.4098,                0.71399,                0.34765,                0.90803,                0.00835,                0.00835,                0.00835
                     53,                0.83177,                 1.8385,                0.83276,                 1.1688,                0.96008,                0.89829,                0.93386,                0.86297,                0.95295,                0.88814,                0.92661,                0.81327,                0.40973,                0.71276,                0.34757,                 0.9076,               0.008317,               0.008317,               0.008317
                     54,                0.83002,                 1.8314,                 0.8305,                 1.1686,                0.96033,                0.89819,                 0.9336,                0.86315,                0.95342,                0.88779,                0.92662,                0.81321,                0.40925,                0.71265,                0.34712,                0.90693,               0.008284,               0.008284,               0.008284
                     55,                0.83071,                 1.8361,                0.82792,                  1.169,                0.96113,                0.89766,                0.93407,                0.86356,                0.95294,                0.88798,                0.92657,                 0.8136,                0.40909,                0.71274,                0.34683,                0.90645,               0.008251,               0.008251,               0.008251
                     56,                 0.8328,                 1.8339,                0.83154,                 1.1665,                0.96036,                 0.8983,                0.93376,                 0.8634,                0.95305,                0.88776,                0.92696,                0.81438,                0.40946,                0.71217,                0.34668,                0.90607,               0.008218,               0.008218,               0.008218
                     57,                0.82964,                 1.8444,                0.83228,                  1.166,                0.96127,                0.89819,                0.93384,                0.86345,                0.95278,                0.88761,                0.92645,                0.81378,                0.40933,                0.71169,                0.34688,                0.90573,               0.008185,               0.008185,               0.008185
                     58,                0.82557,                 1.8217,                0.82385,                  1.163,                0.96214,                0.89807,                0.93407,                 0.8636,                0.95325,                 0.8876,                0.92687,                0.81419,                0.40931,                0.71068,                0.34677,                0.90549,               0.008152,               0.008152,               0.008152
                     59,                   0.83,                 1.8314,                 0.8265,                 1.1635,                0.96224,                0.89772,                0.93431,                 0.8639,                0.95292,                0.88774,                0.92683,                0.81442,                0.40909,                0.71004,                0.34685,                  0.905,               0.008119,               0.008119,               0.008119
                     60,                0.82779,                 1.8282,                0.82417,                 1.1622,                0.96209,                0.89819,                 0.9345,                0.86423,                0.95322,                 0.8875,                0.92681,                0.81465,                0.40896,                0.71019,                0.34666,                0.90459,               0.008086,               0.008086,               0.008086
